category,analysis_or_rule,timing_relative_to_results,repository_evidence,date,terminology_in_manuscript,registration_status
Primary documented analysis,"Patient-level mean pooling; PLS1 continuous and PLS-LDA binary cancer-specific atlas; 1-10 components; nested patient-level CV; Q2 and balanced accuracy; minimum n=50 continuous and 20/20 binary; within-cancer/family FDR; tier A/B thresholds","Documented in the initial repository snapshot, but the same commit contains completed outcome results; pre-result locking cannot be independently verified from Git history",bb0ccb8d016072519913d8a78e0157b9f2e09c5f,2026-08-15,"documented analysis rules in the initial repository snapshot; chronology before outcome inspection not verifiable",Not registered
Secondary documented analysis,"PLS1-versus-PLS2 inflammatory comparison","Documented and reported in the initial repository snapshot; chronology before first inspection of its results cannot be independently verified",bb0ccb8d016072519913d8a78e0157b9f2e09c5f,2026-08-15,"documented secondary analysis",Not registered
Sensitivity analysis,"Five-repeat nested validation; TCGA tissue-source-site-code grouping; first-slide versus mean-pool analysis","Documented and reported in the initial repository snapshot; chronology before first inspection cannot be independently verified",bb0ccb8d016072519913d8a78e0157b9f2e09c5f,2026-08-15,"documented sensitivity analysis",Not registered
Revision-added locked precision analysis,"Eight targets for extension from 999 to 9999 complete-process permutations","Target registry and hashes committed before the high-resolution results were generated",ac30ccb1fa4557e1e63d9a69f342361fcf36d7e3,2026-08-24,"locked before running this precision analysis",Not registered
Revision-added analysis,"9999-permutation results; Monte Carlo intervals; outcome-wide and atlas-wide multiplicity sensitivities","Results committed after the target lock",47fa5b9,2026-08-24,"revision-added precision and multiplicity sensitivity",Not registered
Revision-added analysis,"Symmetric PLS-versus-ridge benchmark on a metadata-stratified 47-target subset","Selection rule is deterministic and does not use PLS performance, but code and results first appear together in one commit",7040e1a,2026-08-24,"fixed metadata-only comparison rule; not prospectively registered",Not registered
Post hoc subgroup analysis,"Sex- and broad race-stratified performance audit using fixed repeated OOF predictions","Added during manuscript revision after the primary screen",d104e15,2026-08-24,"post hoc subgroup audit",Not registered
Post hoc qualitative analysis,"Endpoint provenance and morphology-context neighbour examples","Added during manuscript revision after the primary screen",2832113,2026-08-24,"post hoc qualitative context analysis",Not registered
Post hoc illustrative case selection,"Two COAD radar-profile software examples selected for visual contrast","Added after primary and repeated results; selection intentionally maximised profile separation",8254322,2026-08-24,"post hoc illustrative case selection",Not registered
Revision-added analysis,"Matched TITAN, Giga-SSL and Prov-GigaPath representation comparison","Added in response to manuscript development; comparison code and initial results first appear together",01dab39,2026-08-24,"revision-added matched representation benchmark",Not registered
Revision-added sensitivity,"Exact-common-slide intersection analysis","Added after reviewer concern about representation-specific slide sets",working tree after 01dab39,2026-08-24,"revision-added slide-intersection sensitivity",Not registered
Revision-added analysis,"Three-representation ridge-probe sensitivity and 1-20-component sensitivity","Added after reviewer concern about probe-dependent representation ranking",working tree after 01dab39,2026-08-24,"revision-added probe and component-range sensitivity",Not registered
Revision-added analysis,"Matched-random tissue-source-site partition controls; code-only outcome prediction; code heterogeneity; paired intervals","Added after reviewer concern that grouped validation did not establish confounding",working tree after 01dab39,2026-08-24,"revision-added partition-sensitivity controls",Not registered
Future prospectively locked protocol,"Locked external UCEC evaluation of TP53 mutation, genome doubling and aneuploidy score","Protocol and artifact hashes committed before any external feature extraction or outcome evaluation; no external result currently exists",0c17d45,2026-08-24,"prospectively locked future external-validation protocol",Not registered
Revision-added analysis,"Continuous sample-size, repeat-stability and component-selection reliability audit","Added in response to reviewer comment after the primary screen; the <100-patient evidence label is descriptive and not a clinical or inferential boundary",working tree after 01dab39,2026-08-24,"revision-added continuous reliability audit",Not registered
Revision-added sensitivity,"Complete binary decision-rule audit: empirical-training-prior LDA, equal-prior LDA and inner-OOF balanced-accuracy thresholding","Added in response to reviewer concern after the primary and matched screens; settings and results first appear in the same working-tree revision",working tree after 01dab39,2026-08-24,"revision-added operating-rule sensitivity; not prospectively registered",Not registered
Revision-added sensitivity,"Five alternative matched nested partitions for all union-positive and near-threshold three-representation tasks; crossing-proportion, consensus-class and threshold-curve audit","The 560-task inclusion rule, five-repeat design and threshold grids were fixed in the analysis script before alternative-partition results were inspected; code and results remain in the same working-tree revision",working tree after 01dab39,2026-08-25,"revision-added fold-assignment and threshold-stability audit; not prospectively registered",Not registered
Revision-added sensitivity,"TCGA tissue-source-site-code-grouped validation and matched-random controls for all 340 union-positive tasks in TITAN, Giga-SSL and Prov-GigaPath; consensus-retention cross-tabulation and R1-R4 internal prioritisation classes","Added after reviewer request to integrate cohort-structure sensitivity into the multi-representation evidence hierarchy; code and results first appear in the same working-tree revision",working tree after 01dab39,2026-08-25,"revision-added multi-representation cohort-structure sensitivity; not prospectively registered",Not registered
Revision-added descriptive analysis,"Catalogue-normalized task and unique-definition coverage; macro family/cancer rates; endpoint- and programme-level retained-cancer counts","Added after reviewer concern that correlated and unbalanced endpoint families make raw crossing totals difficult to interpret; code and results first appear in the same working-tree revision",working tree after 01dab39,2026-08-25,"revision-added catalogue-normalized breadth summary; not prospectively registered",Not registered
