family,tumor_type,endpoint,empirical_ba_consensus,auroc_tuned_ba_consensus,auroc_tuned_auroc_consensus,empirical_ba_crossing_count,auroc_tuned_ba_crossing_count,auroc_tuned_auroc_crossing_count,baseline_auroc_winner,auroc_tuned_winner,maximum_auroc_tuning_change,empirical_to_auroc_tuned_ba_consensus_changed,auroc_tuned_ba_to_auroc_consensus_changed,auroc_winner_changed
aneuploidy,ACC,Genome doubling,representation specific,representation specific,exactly two,1,1,2,ProvGigaPath,ProvGigaPath,0.0133333333333331,FALSE,TRUE,FALSE
aneuploidy,BLCA,Genome doubling,all three,all three,all three,3,3,3,ProvGigaPath,ProvGigaPath,0.0212482219061162,FALSE,FALSE,FALSE
aneuploidy,CESC,Genome doubling,none,exactly two,all three,0,2,3,GigaSSL,GigaSSL,0.0476190476190476,TRUE,TRUE,FALSE
aneuploidy,COAD,Genome doubling,all three,all three,all three,3,3,3,ProvGigaPath,ProvGigaPath,0.0121462559479086,FALSE,FALSE,FALSE
aneuploidy,ESCA,Genome doubling,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.023261278195489,FALSE,FALSE,FALSE
aneuploidy,GBM,Genome doubling,none,representation specific,exactly two,0,1,2,TITAN,TITAN,0.09296066252588,TRUE,TRUE,FALSE
aneuploidy,HNSC,Genome doubling,exactly two,exactly two,all three,2,2,3,TITAN,GigaSSL,0.021652334152334,FALSE,TRUE,TRUE
aneuploidy,KIRC,Genome doubling,none,exactly two,all three,0,2,3,TITAN,TITAN,0.0119004470218678,TRUE,TRUE,FALSE
aneuploidy,LGG,Genome doubling,none,none,none,0,0,0,TITAN,TITAN,0.0224895808759928,FALSE,FALSE,FALSE
aneuploidy,LIHC,Genome doubling,all three,all three,all three,3,3,3,ProvGigaPath,ProvGigaPath,0.0201016374929417,FALSE,FALSE,FALSE
aneuploidy,LUAD,Genome doubling,all three,all three,all three,3,3,3,TITAN,TITAN,0.0211506961506963,FALSE,FALSE,FALSE
aneuploidy,LUSC,Genome doubling,none,representation specific,all three,0,1,3,TITAN,TITAN,0.0508448540706604,TRUE,TRUE,FALSE
aneuploidy,OV,Genome doubling,representation specific,representation specific,all three,1,1,3,TITAN,TITAN,0.0790450928381968,FALSE,TRUE,FALSE
aneuploidy,PAAD,Genome doubling,representation specific,exactly two,all three,1,2,3,GigaSSL,GigaSSL,0.0428861788617889,TRUE,TRUE,FALSE
aneuploidy,PCPG,Genome doubling,none,none,representation specific,0,0,1,GigaSSL,TITAN,0.106203007518797,FALSE,TRUE,TRUE
aneuploidy,PRAD,Genome doubling,none,representation specific,exactly two,0,1,2,GigaSSL,GigaSSL,0.0652557319223982,TRUE,TRUE,FALSE
aneuploidy,READ,Genome doubling,exactly two,exactly two,exactly two,2,2,2,GigaSSL,GigaSSL,0.0279761904761906,FALSE,FALSE,FALSE
aneuploidy,SARC,Genome doubling,all three,all three,all three,3,3,3,TITAN,GigaSSL,0.0930413832199545,FALSE,FALSE,TRUE
aneuploidy,SKCM,Genome doubling,exactly two,exactly two,exactly two,2,2,2,ProvGigaPath,TITAN,0.0358276643990935,FALSE,FALSE,TRUE
aneuploidy,STAD,Genome doubling,all three,all three,all three,3,3,3,TITAN,ProvGigaPath,0.0215932777488276,FALSE,FALSE,TRUE
aneuploidy,UCEC,Genome doubling,all three,all three,all three,3,3,3,TITAN,TITAN,0.0275004760220877,FALSE,FALSE,FALSE
driver_mutation,BLCA,ARID1A,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0420293991722562,FALSE,FALSE,FALSE
driver_mutation,BLCA,ASXL2,none,none,none,0,0,0,GigaSSL,TITAN,0.0618092509209988,FALSE,FALSE,TRUE
driver_mutation,BLCA,ATM,none,representation specific,representation specific,0,1,1,TITAN,TITAN,0.0592259020692013,TRUE,FALSE,FALSE
driver_mutation,BLCA,CDKN1A,none,none,none,0,0,0,GigaSSL,TITAN,0.0707220188488196,FALSE,FALSE,TRUE
driver_mutation,BLCA,CDKN2A,none,representation specific,representation specific,0,1,1,TITAN,TITAN,0.0386574074074075,TRUE,FALSE,FALSE
driver_mutation,BLCA,CREBBP,none,none,none,0,0,0,GigaSSL,ProvGigaPath,0.0758928571428574,FALSE,FALSE,TRUE
driver_mutation,BLCA,ELF3,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.0124131721121686,FALSE,FALSE,FALSE
driver_mutation,BLCA,EP300,none,none,none,0,0,0,TITAN,TITAN,0.0269921436588103,FALSE,FALSE,FALSE
driver_mutation,BLCA,ERBB2,none,none,representation specific,0,0,1,ProvGigaPath,ProvGigaPath,0.0562773347054279,FALSE,TRUE,FALSE
driver_mutation,BLCA,ERBB3,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0449127906976743,FALSE,FALSE,FALSE
driver_mutation,BLCA,ERCC2,none,none,representation specific,0,0,1,TITAN,TITAN,0.0232501023331971,FALSE,TRUE,FALSE
driver_mutation,BLCA,FAT1,none,none,none,0,0,0,GigaSSL,ProvGigaPath,0.0592359145870849,FALSE,FALSE,TRUE
driver_mutation,BLCA,FBXW7,none,none,none,0,0,0,GigaSSL,TITAN,0.05819209039548,FALSE,FALSE,TRUE
